name,address,website,phone
MGPAR - Produtos para Concreto,,,(11) 2548-8000
Tub Import Comércio de Produtos Siderúrgicos Ltda,"R. Sd. Dionísio Chagas, 307 - Parque Novo Mundo, São Paulo - SP, 02176-000",,(11) 2955-7825
Obramax Mooca,"Av. do Estado, 6313 - Mooca, São Paulo - SP, 03108-010",,
Madeforte Comércio de Madeira,"Av. Ten. Amaro Felicíssimo da Silveira, 1619 - Vila Maria, São Paulo - SP, 02177-010",,
Materiais P/ construção,"Jardim Cidade Pirituba, São Paulo - SP, 05145-200",,
Kaue Materiais de construção,"Av. das Cerejeiras, 558 - Jardim Japao, São Paulo - SP, 02124-000",,
3R Materiais Para Construção,"Av. Campos do Jordão, 130 - Parque Novo Mundo, Americana - SP, 13467-610",,
Cita Material Elétrico,"R. Sd. Sérgio Bernardino, 2 - Parque Novo Mundo, São Paulo - SP, 02179-010",,
GALVALUZ TELHAS,,galvaluz.com,(11) 94130-0664
Lorrd Indústria e Comércio,"R. Cabo Oscar Rossini, 983 - Parque Novo Mundo, São Paulo - SP, 02186-030",,(11) 2636-7682
Itapeti Materiais de Construção Loja 1,"R. Serafim Poli, 232 - Vila Maria, São Paulo - SP, 02169-010",,
Servical Comércio de Materiais para Construção,"R. Osasco, 472 - Parque Novo Mundo, Americana - SP, 13467-512",,
Montebase Materiais Para Construção,"R. Limoges, 20 - Parque Novo Mundo, São Paulo - SP, 02174-100",,
GUACICAL ZONA NORTE Distribuidora de Cimento Ltda,"R. Sd. Anésio Antão Ferreira, 99 - Jardim Japao, São Paulo - SP, 02142-000",,
Megareia Comércio de Materiais para Construção,"R. Edmundo Xavier, 322 - Chácara Santo Antônio (Zona Leste), São Paulo - SP, 03408-040",,
SILKMAIS IND. E COM. DE TINTAS E VERNIZES LTDA ME,"R. Sd. Cristóvão Morais Garcia, 213 - Vila Maria, São Paulo - SP, 02187-090",,
Central Prédio,,,
A.C. Comércio Ferramentas Ltda,"Av. Serafim Gonçalves Pereira, 473 - Parque Novo Mundo, São Paulo - SP, 02179-000",,
Deposito material de construção lima santana,"R. da Baracela - Parque Novo Mundo, São Paulo - SP, 02190-120",,
Depósito Durso,"R. Apucarana, 1109 - Vila Gomes Cardim, São Paulo - SP, 03311-001",,
Bendilatti Materiais para Construção Ltda.,,business.google.com,
Corzim São Paulo,,corzim.com.br,(11) 4562-1418
Gtdhur comércio matérias para construção ltda,"R. Sd. Eurípedes Rodrigues Lima, 23 - Parque Novo Mundo, São Paulo - SP, 02178-030",,
House Color Materiais de Construção,"Av. de Cillo, 4587 - Parque Novo Mundo, Americana - SP, 13467-600",,
Capital Metais Comércio Chapas,"R. Sd. Francisco Tamborim, 85 - Parque Novo Mundo, São Paulo - SP, 02176-070",,(11) 2631-8668
Itapeti Materiais de Construção Loja 2,"R. Cabo Antônio Alves, 231 - Parque Novo Mundo, São Paulo - SP, 02185-010",,
ConstruFácil Lar & Construção,"Avenida Cerejeiras, 1323 Jardim Japão - Vila Maria Alta, São Paulo - SP, 02124-001",,
Bico Materiais para Construções,"Al. 2, Alameda S-Srg. Névio Baracho dos Santos, 330 - Parque Novo Mundo, São Paulo - SP, 02180-090",,
Tintas Parque Novo Mundo,"Av. Serafim Gonçalves Pereira, 398 - Parque Novo Mundo, São Paulo - SP, 02179-000",,
Arco Celeste Materiais P/construção,"R. Sd. Francisco Tamborim, 88 - Parque Novo Mundo, São Paulo - SP, 02176-070",,
Ger Comércio de Materiais Elétricos,"R. Sd. Cristóvão Morais Garcia, 195 - Parque Novo Mundo, São Paulo - SP, 02187-090",,
Mundo Novo Materiais para Construções,"R. Olímpio Brás de Sousa, 180 - Vila Eutália, São Paulo - SP, 03517-050",,
Tecpar Parafusos,"Av. Ten. Amaro Felicíssimo da Silveira, 1326 - Vila Maria, São Paulo - SP, 02177-000",,(11) 2631-1364
Tecpar Parafusos,"R. Sd. Genésio Valentim, 107 - Parque Novo Mundo, São Paulo - SP, 02176-050",tecparnet.com.br,
Eletro San Felippe,"Alameda Subtenente Francisco Hierro, 26 - Parque Novo Mundo, São Paulo - SP, 02187-040",eletrosanfelippe.com.br,
Metal Fecho Comércio,"Rua Soldado José Reymão, 244 - Parque Novo Mundo, São Paulo - SP, 02178-040",,
De Ville 2 Materiais para Construção,"R. Luís Pântano, 325 - Parque Novo Mundo, Limeira - SP, 13481-358",,
Debellis Material De Construcao,"Av. das Cerejeiras, 48 - Jardim Japao, São Paulo - SP, 02124-000",,(11) 2955-0789
Protesul,,,
Atos Pisos ELevados,"Rua Soldado José Reymão, 418 - Parque Novo Mundo, São Paulo - SP, 01278-040",,(11) 2207-0765
