name,address,website,phone
Top Floor Pisos - Santana,"Avenida Braz Leme, 637 sobreloja Entrada, R. Saguairu, 211 - Casa Verde, São Paulo - SP, 02511-000",,
Lojas Prático Materiais para Construção,"Av. Baruel, 289 - Casa Verde, São Paulo - SP, 02522-000",,
Barbinha Materiais para construção,"R. Padre Antônio D'Ângelo, 130 - Casa Verde, São Paulo - SP, 02516-040",,
Casa Verde Comércio de Metais Eireli,"R. Guarizinho, 251 - Casa Verde, São Paulo - SP, 02530-010",,
Portal dos Materiais,"R. Marambaia, 690 - Casa Verde, São Paulo - SP, 02513-000",,
Fatto Acrilíco,"Rua Juca Floriano, 76 - Casa Verde, São Paulo - SP, 02530-020",fattoacrilico.com.br,
Artesana Divisórias e Forros - Unidade Casa Verde,"R. Reims, 375 - Casa Verde, São Paulo - SP, 02517-010",,
Posto Shell,"Av. Braz Leme, 164 - Casa Verde, São Paulo - SP, 02511-000",shell.com.br,
Polar Comércio de Materiais para Construção,"Av. Casa Verde, 155 - Casa Verde, São Paulo - SP, 02519-000",,(11) 2236-5345
Posto Shell,"Av. Casa Verde, 2971 - Casa Verde, São Paulo - SP, 02519-200",shell.com.br,
